"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Magnesio-fluoro-arfvedsonite","Magnesio-fluoro-arfvedsonite","NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_","Na Mg Fe^3+ Si O F"
"Magnesio-fluoro-hastingsite","Magnesio-fluoro-hastingsite","NaCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_F_2_","Na Ca Mg Fe^3+ Si Al O F"
"Magnesio-foitite","Magnesio-foitite","[box](Mg_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)","Mg Al Si O B H"
"Magnesio-hastingsite","Magnesio-hastingsite","NaCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_(OH)_2_","Na Ca Mg Fe^3+ Si Al O H"
"Magnesiohatertite","Magnesiohatertite","NaNaCa(MgFe^3+^)(AsO_4_)_3_","Na Ca Mg Fe^3+ As^5+ O"
"Magnesiohögbomite-2<i>N</i>2S","Magnesiohogbomite-2N2S","(Mg,Fe,Al,Ti)_22_(O,OH)_32_","Al Mg Fe^2+ Fe^3+ Ti^4+ O H"
"Magnesiohögbomite-2<i>N</i>3S","Magnesiohogbomite-2N3S","(Mg,Fe,Zn,Ti)_4_(Al,Fe)_10_O_19_(OH)","Mg Fe^2+ Zn^2+ Ti^4+ Al Fe^3+ O H"
"Magnesiohögbomite-2<i>N</i>4S","Magnesiohogbomite-2N4S","[(Mg_8.43_Fe^2+^_1.57_)_Σ=10_Al_22_Ti^4+^_2_O_46_(OH)_2_]","Mg Al Ti^4+ O H"
"Magnesiohögbomite-6<i>N</i>12<i>S</i>","Magnesiohogbomite-6N12S","Mg_5_Al_11_TiO_23_(OH)","Mg Al Ti^4+ O H"
"Magnesiohögbomite-6<i>N</i>6S","Magnesiohogbomite-6N6S","(Mg,Al,Fe)_3_(Al,Ti)_8_O_15_(OH)","Mg Al Fe^2+ Fe^3+ Ti^4+ O H"
"Magnesio-hornblende","Magnesio-hornblende","[box]Ca_2_(Mg_4_Al)(Si_7_Al)O_22_(OH)_2_","Ca Mg Al Si O H"
"Magnesiohulsite","Magnesiohulsite","Mg_2_Fe^3+^O_2_(BO_3_)","Mg Fe^3+ O B"
"Magnesiokoritnigite","Magnesiokoritnigite","Mg(AsO_3_OH)·H_2_O","Mg As^5+ O H"
"Magnesioleydetite","Magnesioleydetite","Mg(UO_2_)(SO_4_)_2_·11H_2_O","Mg U^6+ O S^6+ H"
"Magnesio-lucchesiite","Magnesio-lucchesiite","CaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O","Ca Mg Al Si O B H"
"Magnesioneptunite","Magnesioneptunite","KNa_2_Li(Mg,Fe)_2_Ti_2_Si_8_O_24_","K Na Li Mg Ti^4+ Si O"
"Magnesionigerite-2<i>N</i>1S","Magnesionigerite-2N1S","(Mg,Al,Zn)_2_(Al,Sn)_6_O_11_(OH)","Mg Al Zn^2+ Sn^4+ O H"
"Magnesionigerite-6<i>N</i>6S","Magnesionigerite-6N6S","(Mg,Al,Zn)_3_(Al,Sn,Fe)_8_O_15_(OH)","Mg Al Zn^2+ Sn^4+ Fe^3+ Fe^2+ O H"
"Magnesiopascoite","Magnesiopascoite","Ca_2_MgV^5+^_10_O_28_·16H_2_O","Ca Mg V^5+ O H"
"Magnesio-riebeckite","Magnesio-riebeckite","[box]Na_2_(Mg_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_","Na Mg Fe^3+ Si O H"
"Magnesiorowlandite-(Y)","Magnesiorowlandite-(Y)","Y_4_(Mg,Fe)(Si_2_O_7_)_2_F_2_","Y^3+ Mg Fe^2+ Si O F"
"Magnesiostaurolite","Magnesiostaurolite","Mg(Mg,Li)_3_(Al,Mg)_18_Si_8_O_44_(OH)_4_","Mg Li Al Si O H"
"Magnesiotaaffeite-2<i>N</i>'2S","Magnesiotaaffeite-2N2S","Mg_3_BeAl_8_O_16_","Mg Be Al O"
"Magnesiotaaffeite-6<i>N</i>'3S","Magnesiotaaffeite-6N3S","Mg_2_BeAl_6_O_12_","Mg Be Al O"
"Magnesiovesuvianite","Magnesiovesuvianite","Ca_19_Mg(Al_11_Mg)Si_18_O_69_(OH)_9_","Ca Mg Al Si O H"
"Magnesiovoltaite","Magnesiovoltaite","K_2_Mg_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O","K Mg Fe^3+ Al S^6+ O H"
"Magnesiozippeite","Magnesiozippeite","Mg(UO_2_)_2_(SO_4_)O_2_·3.5H_2_O","Mg U^6+ O S^6+ H"
"Magnesite","Magnesite","Mg(CO_3_)","Mg C O"
"Magnetite","Magnetite","Fe^2+^Fe^3+^_2_O_4_","Fe^2+ Fe^3+ O"
"Magnetoplumbite","Magnetoplumbite","PbFe^3+^_12_O_19_","Pb^2+ Fe^3+ O"
"Magnioursilite","Magnioursilite","Mg_4_(UO_2_)_4_(Si_2_O_5_)_5_(OH)_6_·20H_2_O","Mg U^6+ O Si H"
"Magnolite","Magnolite","Hg^1+^_2_(Te^4+^O_3_)","Hg^1+ Te^4+ O"
"Magnussonite","Magnussonite","Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_","Mn^2+ As^3+ O H Cl"
"Mahnertite","Mahnertite","(Na,Ca,K)Cu_3_(AsO_4_)_2_Cl·5H_2_O","Na Ca K Cu^2+ As^5+ O Cl H"
"Maikainite","Maikainite","Cu_10_Fe_3_MoGe_3_S_16_","Cu^1+ Fe^2+ Mo^4+ Ge^4+ S^2-"
"Majakite","Majakite","PdNiAs","Pd Ni As"
"Majindeite","Majindeite","Mg_2_Mo_3_O_8_","Mg Mo^4+ O"
"Majorite","Majorite","Mg_3_(MgSi)(SiO_4_)_3_","Mg Si O"
"Majzlanite","Majzlanite","K_2_Na(ZnNa)Ca(SO_4_)_4_","K Na Zn^2+ Ca S^6+ O"
"Makarochkinite","Makarochkinite","Ca_4_[Fe^2+^_8_Fe^3+^_2_Ti_2_]O_4_[Si_8_Be_2_Al_2_O_36_]","Ca Fe^2+ Fe^3+ Ti^4+ O Si Be Al"
"Makatite","Makatite","Na_2_Si_4_O_8_(OH)_2_·4H_2_O","Na Si O H"
"Mäkinenite","Makinenite","NiSe","Ni Se"
"Makotoite","Makotoite","Ag_12_(Cu_3_Au)S_8_","Ag Cu Au S"
"Makovickyite","Makovickyite","Cu_1.12_Ag_0.81_Pb_0.27_Bi_5.35_S_9_","Cu Ag Pb^2+ Bi^3+ S^2-"
"Malachite","Malachite","Cu_2_(CO_3_)(OH)_2_","Cu^2+ C O H"
"Malanite","Malanite","Cu^1+^(Ir^3+^Pt^4+^)S_4_","Cu^1+ Ir^3+ Pt^4+ S^2-"
"Malayaite","Malayaite","CaSnO(SiO_4_)","Ca Sn^4+ O Si"
"Maldonite","Maldonite","Au_2_Bi","Au Bi"
"Maleevite","Maleevite","BaB_2_Si_2_O_8_","Ba B Si O"
"Maletoyvayamite","Maletoyvayamite","Au_3_Se_4_Te_6_","Au Se Te"
"Malhmoodite","Malhmoodite","Fe^2+^Zr(PO_4_)_2_·4H_2_O","Fe^2+ Zr^4+ P O H"
"Malinkoite","Malinkoite","NaBSiO_4_","Na B Si O"
"Malladrite","Malladrite","Na_2_SiF_6_","Na Si F"
"Mallardite","Mallardite","Mn(SO_4_)·7H_2_O","Mn S^6+ O H"
"Mallestigite","Mallestigite","Pb_3_Sb(SO_4_)(AsO_4_)(OH)_6_·3H_2_O","Pb^2+ Sb^5+ S^6+ O As^5+ H"
"Malyshevite","Malyshevite","PdCuBiS_3_","Cu^1+ Pd^2+ Bi^3+ S^2-"
"Mambertiite","Mambertiite","BiMo^5+^_2.8_O_8_(OH)","Bi^3+ Mo^5+ O H"
"Mammothite","Mammothite","Pb_6_Cu_4_AlSb^5+^O_2_(SO_4_)_2_Cl_4_(OH)_16_","Pb^2+ Cu^2+ Al Sb^5+ O S^6+ Cl H"
"Manaevite-(Ce)","Manaevite-(Ce)","Ca_11_(Ce,H_2_O,Ca)_8_Mg(Al,Fe)_4_(Mg,Ti,Fe^3+^)_8_[Si_2_O_7_]_4_[(SiO_4_)_8_(H_4_O_4_)_2_](OH)_9_","Ca Ce H O Mg Al Fe Ti^4+ Fe^3+ Si"
"Manaksite","Manaksite","KNaMn^2+^Si_4_O_10_","K Na Mn^2+ Si O"
"Manandonite","Manandonite","Li_2_Al_4_(Si_2_AlB)O_10_(OH)_8_","Li Al Si B O H"
"Mandarinoite","Mandarinoite","Fe^3+^_2_(Se^4+^O_3_)_3_·6H_2_O","Fe^3+ Se^4+ O H"
"Maneckiite","Maneckiite","(Na[box])Ca_2_Fe^2+^_2_(Fe^3+^Mg)Mn_2_(PO_4_)_6_·2H_2_O","Na Ca Fe^2+ Fe^3+ Mg Mn^2+ P O H"
"Manganarsite","Manganarsite","Mn^2+^_3_As^3+^_2_O_4_(OH)_4_","Mn^2+ As^3+ O H"
"Manganbabingtonite","Manganbabingtonite","Ca_2_Mn^2+^Fe^3+^Si_5_O_14_(OH)","Ca Mn^2+ Fe^3+ Si O H"
"Manganbelyankinite","Manganbelyankinite","Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O","Mn^2+ Ca Ti^4+ Nb^5+ O H"
"Manganberzeliite","Manganberzeliite","(NaCa_2_)Mn^2+^_2_(AsO_4_)_3_","Na Ca Mn^2+ As^5+ O"
"Manganflurlite","Manganflurlite","ZnMn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O","Zn^2+ Mn^2+ Fe^3+ P O H"
"Mangangordonite","Mangangordonite","Mn^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O","Mn^2+ Al P O H"
"Manganhumite","Manganhumite","Mn^2+^_7_(SiO_4_)_3_(OH)_2_","Mn^2+ Si O H"
"Manganiakasakaite-(La)","Manganiakasakaite-(La)","CaLa(Mn^3+^AlMn^2+^)(Si_2_O_7_)(SiO_4_)O(OH)","Ca La^3+ Mn^3+ Al Mn^2+ Si O H"
"Manganiandrosite-(Ce)","Manganiandrosite-(Ce)","MnCe(Mn^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Mn^2+ Ce^3+ Al Mn^3+ Si O H"
"Manganiandrosite-(La)","Manganiandrosite-(La)","MnLa(Mn^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Mn^2+ La^3+ Al Mn^3+ Si O H"
"Manganiceladonite","Manganiceladonite","KMgMn^3+^Si_4_O_10_(OH)_2_","K Mg Mn^3+ Si O H"
"Mangani-dellaventuraite","Mangani-dellaventuraite","NaNa_2_(MgMn^3+^_2_Ti^4+^Li)Si_8_O_22_O_2_","Na Mg Mn^3+ Li Ti^4+ Si O"
"Manganilvaite","Manganilvaite","CaFe^2+^Fe^3+^Mn^2+^(Si_2_O_7_)O(OH)","Ca Fe^2+ Fe^3+ Mn^2+ Si O H"
"Mangani-obertiite","Mangani-obertiite","NaNa_2_(Mg_3_Mn^3+^Ti^4+^)Si_8_O_22_O_2_","Na Mg Mn^3+ Ti^4+ Si O"
"Mangani-pargasite","Mangani-pargasite","NaCa_2_(Mg_4_Mn^3+^)(Si_6_Al_2_)O_22_(OH)_2_","Na Ca Mg Mn^3+ Si Al O H"
"Manganite","Manganite","Mn^3+^O(OH)","Mn^3+ O H"
"Manganlotharmeyerite","Manganlotharmeyerite","CaMn^3+^_2_(AsO_4_)_2_(OH)_2_","Ca Mn^3+ As^5+ O H"
"Manganoarrojadite-(KNa)","Manganoarrojadite-(KNa)","KNa_5_MnFe_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","K Na Mn^2+ Fe^2+ Al P O H"
"Manganobadalovite","Manganobadalovite","NaNaMn(MgFe^3+^)(AsO_4_)_3_","Na Mn^2+ Mg Fe^3+ As^5+ O"
"Manganoblödite","Manganoblodite","Na_2_Mn(SO_4_)_2_·4H_2_O","Na Mn^2+ S^6+ O H"
"Manganochromite","Manganochromite","Mn^2+^Cr_2_O_4_","Mn^2+ Cr^3+ O"
"Manganoeudialyte","Manganoeudialyte","Na_14_Ca_6_Mn_3_Zr_3_[Si_26_O_72_(OH)_2_](H_2_O,Cl,O,OH)_6_","Na Ca Mn^2+ Zr^4+ Si O H Cl"
"Mangano-ferri-eckermannite","Mangano-ferri-eckermannite","NaNa_2_(Mn^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_","Na Mn^2+ Fe^3+ Si O H"
"Manganohörnesite","Manganohornesite","Mn^2+^_3_(AsO_4_)_2_·8H_2_O","Mn^2+ As^5+ O H"
"Manganokaskasite","Manganokaskasite","(Mo,Nb)S_2_·(Mn_1-x_Al_x_)(OH)_2+x_","Mo Nb S Mn^2+ Al O H"
"Manganokhomyakovite","Manganokhomyakovite","Na_12_Sr_3_Ca_6_Mn_3_Zr_3_W(Si_25_O_73_)(O,OH,H_2_O)_3_(Cl,OH)_2_","Na Ca Sr Mn^2+ W^5+ Zr^4+ Si O H Cl"
"Manganokukisvumite","Manganokukisvumite","Na_6_MnTi_4_Si_8_O_28_·4H_2_O","Na Mn^2+ Ti^4+ Si O H"
"Manganolangbeinite","Manganolangbeinite","K_2_Mn^2+^_2_(SO_4_)_3_","K Mn^2+ S^6+ O"
"Mangano-mangani-ungarettiite","Mangano-mangani-ungarettiite","NaNa_2_(Mn^2+^_2_Mn^3+^_3_)Si_8_O_22_O_2_","Na Mn^2+ Mn^3+ Si O"
"Manganonaujakasite","Manganonaujakasite","Na_6_Mn^2+^Al_4_Si_8_O_26_","Na Mn^2+ Al Si O"
"Manganoneptunite","Manganoneptunite","KNa_2_LiMn^2+^_2_Ti_2_Si_8_O_24_","K Na Li Mn^2+ Ti^4+ Si O"
"Manganonordite-(Ce)","Manganonordite-(Ce)","Na_3_SrCeMn^2+^Si_6_O_17_","Na Sr Ce Mn^2+ Si O"
"Manganoquadratite","Manganoquadratite","AgMnAsS_3_","Ag^1+ Mn^2+ As^3+ S^2-"
"Manganosegelerite","Manganosegelerite","Mn^2+^_2_Fe^3+^(PO_4_)_2_(OH)·4H_2_O","Mn^2+ Fe^3+ P O H"
"Manganosite","Manganosite","MnO","Mn^2+ O"
"Manganostibite","Manganostibite","Mn^2+^_7_Sb^5+^As^5+^O_12_","Mn^2+ Sb^5+ As^5+ O"
"Manganotychite","Manganotychite","Na_6_Mn^2+^_2_(CO_3_)_4_(SO_4_)","Na Mn^2+ C O S^6+"
"Manganvesuvianite","Manganvesuvianite","Ca_19_Mn^3+^Al_10_Mg_2_(SiO_4_)_10_(Si_2_O_7_)_4_O(OH)_9_","Ca Mn^3+ Al Mg Si O H"
"Mangazeite","Mangazeite","Al_2_(SO_4_)(OH)_4_·3H_2_O","Al S^6+ O H"
"Manitobaite","Manitobaite","Na_16_Mn^2+^_25_Al_8_(PO_4_)_30_","Na Mn^2+ Al P O"
"Manjiroite","Manjiroite","Na(Mn^4+^_7_Mn^3+^)O_16_","Na Mn^4+ Mn^3+ O"
"Mannardite","Mannardite","Ba(Ti_6_V^3+^_2_)O_16_","Ba Ti^4+ V^3+ O"
"Mansfieldite","Mansfieldite","Al(AsO_4_)·2H_2_O","Al As^5+ O H"
"Mantienneite","Mantienneite","KMg_2_Al_2_Ti(PO_4_)_4_(OH)_3_·15H_2_O","K Mg Al Ti^4+ P O H"
"Maohokite","Maohokite","MgFe_2_O_4_","Mg Fe^3+ O"
"Maoniupingite-(Ce)","Maoniupingite-(Ce)","(Ce,Ca)_4_(Fe^3+^,Ti,Fe^2+^,[box])(Ti,Fe^3+^,Fe^2+^,Nb)_4_Si_4_O_22_","Ce^3+ Ca Fe^3+ Ti^4+ Fe^2+ Nb^5+ Si O"
"Mapimite","Mapimite","Zn_2_Fe^3+^_3_(AsO_4_)_3_(OH)_4_·10H_2_O","Zn^2+ Fe^3+ As^5+ O H"
"Mapiquiroite","Mapiquiroite","(Sr,Pb)(U,Y)Fe_2_(Ti,Fe^3+^)_18_O_38_","Sr Pb^2+ U^4+ Y^3+ Fe^3+ Ti^4+ O"
"Marathonite","Marathonite","Pd_25_Ge_9_","Pd Ge"
"Marcasite","Marcasite","FeS_2_","Fe S"
"Marchettiite","Marchettiite","C_5_H_7_N_5_O_3_","C H N O"
"Marcobaldiite","Marcobaldiite","Pb_12_(Sb_3_As_2_Bi)_Σ6_S_21_","Pb^2+ Sb^3+ As^3+ Bi^3+ S^2-"
"Marécottite","Marecottite","Mg_3_O_6_(UO_2_)_8_(SO_4_)_4_(OH)_2_·28H_2_O","Mg O U^6+ S^6+ H"
"Margaritasite","Margaritasite","Cs_2_(UO_2_)_2_(VO_4_)_2_·H_2_O","Cs^1+ U^6+ O V^5+ H"
"Margarite","Margarite","CaAl_2_Si_2_Al_2_O_10_(OH)_2_","Ca Al Si O H"
"Margarosanite","Margarosanite","Ca_2_PbSi_3_O_9_","Ca Pb^2+ Si O"
"Mariakrite","Mariakrite","[Ca_4_Al_2_(OH)_12_(H_2_O)_4_][Fe_2_S_4_]","Ca Al O H Fe^3+ S^2-"
"Marialite","Marialite","Na_4_Al_3_Si_9_O_24_Cl","Na Al Si O Cl"
"Marićite","Maricite","NaFe^2+^(PO_4_)","Na Fe^2+ P O"
"Maricopaite","Maricopaite","Ca_2_Pb_7_(Si_36_Al_12_)O_99_·n(H_2_O,OH)","Ca Pb^2+ Si Al O H"
"Mariinskite","Mariinskite","BeCr_2_O_4_","Cr^3+ Be O"
"Marinaite","Marinaite","Cu_2_Fe^3+^O_2_(BO_3_)","Cu^2+ Fe^3+ O B"
"Marinellite","Marinellite","Na_42_Ca_6_Al_36_Si_36_O_144_(SO_4_)_8_Cl_2_·6H_2_O","Na Ca Al Si O S^6+ Cl H"
"Markascherite","Markascherite","Cu_3_(MoO_4_)(OH)_4_","Cu^2+ Mo^6+ O H"
"Markcooperite","Markcooperite","Pb_2_(UO_2_)TeO_6_","Pb^2+ U^6+ O Te^6+"
"Markeyite","Markeyite","Ca_9_(UO_2_)_4_(CO_3_)_13_·28H_2_O","Ca U^6+ O C H"
"Markhininite","Markhininite","TlBi(SO_4_)_2_","Tl^1+ Bi^3+ S^6+ O"
"Marklite","Marklite","Cu_5_(CO_3_)_2_(OH)_6_·6H_2_O","Cu^2+ C O H"
"Marokite","Marokite","CaMn^3+^_2_O_4_","Ca Mn^3+ O"
"Marrite","Marrite","AgPbAsS_3_","Ag^1+ Pb^2+ As^3+ S^2-"
"Marrucciite","Marrucciite","Hg_3_Pb_16_Sb_18_S_46_","Hg^2+ Pb^2+ Sb^3+ S^2-"
"Marshite","Marshite","CuI","Cu^1+ I^1-"
"Marsturite","Marsturite","NaCaMn^2+^_3_Si_5_O_14_(OH)","Na Ca Mn^2+ Si O H"
"Marthozite","Marthozite","Cu^2+^(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·8H_2_O","Cu^2+ U^6+ O Se^4+ H"
"Martinandresite","Martinandresite","Ba_2_(Al_4_Si_12_O_32_)·10H_2_O","Ba Al Si O H"
"Martinite","Martinite","(Na,[box],Ca)_12_Ca_4_(Si,S,B)_14_B_2_O_38_(OH,Cl)_2_F_2_·4H_2_O","Na Ca Si S^6+ B O H Cl F"
"Martyite","Martyite","Zn_3_V_2_O_7_(OH)_2_·2H_2_O","Zn^2+ V^5+ O H"
"Marumoite","Marumoite","Pb_32_As_40_S_92_","Pb^2+ As^3+ S^2-"
"Maruyamaite","Maruyamaite","K(MgAl_2_)(Al_5_Mg)(BO_3_)_3_(Si_6_O_18_)(OH)_3_O","K Mg Al B O Si H"
"Mascagnite","Mascagnite","(NH_4_)_2_(SO_4_)","N^3- H S^6+ O"
"Maslovite","Maslovite","PtBiTe","Pt Bi Te"
"Massicot","Massicot","PbO","Pb^2+ O"
"Masutomilite","Masutomilite","KLiAlMn^2+^(Si_3_Al)O_10_(F,OH)_2_","K Li Al Mn^2+ Si O F H"
"Masuyite","Masuyite","Pb(UO_2_)_3_O_3_(OH)_2_·3H_2_O","Pb^2+ U^6+ O H"
"Mathesiusite","Mathesiusite","K_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)(H_2_O)_4_","K U^6+ O S^6+ V^5+ H"
"Mathewrogersite","Mathewrogersite","Pb_7_FeAl_3_GeSi_12_O_36_(OH,H_2_O)_6_","Pb^2+ Fe^2+ Al Ge Si O H"
"Mathiasite","Mathiasite","(K,Ba,Sr)(Zr,Fe)(Mg,Fe)_2_(Ti,Cr,Fe)_18_O_38_","K Ba Sr Zr^4+ Fe^3+ Mg Ti^4+ Cr^3+ O"
"Matildite","Matildite","AgBiS_2_","Ag^1+ Bi^3+ S^2-"
"Matioliite","Matioliite","NaMgAl_5_(PO_4_)_4_(OH)_6_·2H_2_O","Na Mg Al P O H"
"Matlockite","Matlockite","PbClF","Pb^2+ Cl F"
"Matsubaraite","Matsubaraite","Sr_4_Ti_5_O_8_(Si_2_O_7_)_2_","Sr Ti^4+ O Si"
"Mattagamite","Mattagamite","CoTe_2_","Co Te"
"Matteuccite","Matteuccite","NaH(SO_4_)·H_2_O","Na H S^6+ O"
"Mattheddleite","Mattheddleite","Pb_5_(SiO_4_)_1.5_(SO_4_)_1.5_Cl","Pb^2+ Si O S^6+ Cl"
"Matthiasweilite","Matthiasweilite","PbTe^4+^O_3_","Pb^2+ Te^4+ O"
"Matulaite","Matulaite","Fe^3+^Al_7_(PO_4_)_4_(PO_3_OH)_2_(OH)_8_(H_2_O)_8_·8H_2_O","Fe^3+ Al P O H"
"Matyhite","Matyhite","Ca_9_(Ca_0.5_[box]_0.5_)Fe^2+^(PO_4_)_7_","Ca Fe^2+ P O"
"Maucherite","Maucherite","Ni_11_As_8_","Ni As"
"Mauriziodiniite","Mauriziodiniite","(NH_4_)(As_2_O_3_)_2_I","N^3- H As^3+ O I"
"Mavlyanovite","Mavlyanovite","Mn_5_Si_3_","Mn^2+ Mn^3+ Si^4-"
"Mawbyite","Mawbyite","PbFe^3+^_2_(AsO_4_)_2_(OH)_2_","Pb^2+ Fe^3+ As^5+ O H"
"Mawsonite","Mawsonite","Cu_6_Fe_2_SnS_8_","Cu^1+ Fe^3+ Sn^4+ S^2-"
"Maxwellite","Maxwellite","NaFe^3+^(AsO_4_)F","Na Fe^3+ As^5+ O F"
"Mayingite","Mayingite","IrBiTe","Ir Bi Te"
"Mazzettiite","Mazzettiite","Ag_3_HgPbSbTe_5_","Ag^1+ Hg^2+ Pb^2+ Sb^3+ Te^2-"
"Mazzite-Mg","Mazzite-Mg","Mg_5_(Si_26_Al_10_)O_72_·30H_2_O","Mg Si Al O H"
"Mazzite-Na","Mazzite-Na","Na_8_(Si_28_Al_8_)O_72_·30H_2_O","Na Si Al O H"
"Mbobomkulite","Mbobomkulite","(Ni,Cu)Al_4_(NO_3_,SO_4_)_2_(OH)_12_·3H_2_O","Ni^2+ Cu^2+ Al N^5+ O S^6+ H"
"Mcallisterite","Mcallisterite","Mg_2_[B_6_O_7_(OH)_6_]_2_·9H_2_O","Mg B O H"
"Mcalpineite","Mcalpineite","Cu_3_Te^6+^O_6_","Cu^2+ Te^6+ O"
"Mcauslanite","Mcauslanite","Fe^2+^_3_Al_2_(PO_4_)_3_(PO_3_OH)F·18H_2_O","Fe^2+ Al P O H F"
"Mcbirneyite","Mcbirneyite","Cu_3_(VO_4_)_2_","Cu^2+ V^5+ O"
"Mcconnellite","Mcconnellite","Cu^1+^CrO_2_","Cu^1+ Cr^3+ O"
"Mccrillisite","Mccrillisite","NaCs(Be,Li)Zr_2_(PO_4_)_4_·1-2H_2_O","Na Cs Be Li Zr^4+ P O H"
"Mcgillite","Mcgillite","Mn^2+^_8_Si_6_O_15_(OH)_8_Cl_2_","Mn^2+ Si O H Cl"
"Mcgovernite","Mcgovernite","Zn_3_(Mn^2+^,Mg,Fe^3+^,Al)_42_(As^3+^O_3_)_2_(As^5+^O_4_)_4_[(Si,As^5+^)O_4_]_8_(OH)_42_","Zn^2+ Mn^2+ Mg Fe^3+ Al As^3+ O As^5+ Si H"
"Mcguinnessite","Mcguinnessite","CuMg(CO_3_)(OH)_2_","Cu^2+ Mg C O H"
"Mckelveyite-(Y)","Mckelveyite-(Y)","NaBa_3_CaY(CO_3_)_6_·3H_2_O","Na Ba Ca Y C O H"
"Mckinstryite","Mckinstryite","Ag_5_Cu_3_S_4_","Ag Cu S"
"Mcnearite","Mcnearite","NaCa_5_(AsO_4_)(AsO_3_OH)_4_·4H_2_O","Na Ca As^5+ O H"
"Medaite","Medaite","Mn^2+^_6_V^5+^Si_5_O_18_(OH)","Mn^2+ V^5+ Si O H"
"Medenbachite","Medenbachite","Bi_2_Fe^3+^Cu^2+^(AsO_4_)_2_O(OH)_3_","Bi^3+ Fe^3+ Cu^2+ As^5+ O H"
"Medvedevite","Medvedevite","KMn^2+^V_2_O_6_Cl·2H_2_O","K Mn^2+ V^5+ O Cl H"
"Meerschautite","Meerschautite","(Ag,Cu)_5.5_Pb_42.4_(Sb,As)_45.1_S_112_O_0.8_","Ag^1+ Cu^1+ Pb^2+ Sb^3+ As^3+ S^2- O"
"Megacyclite","Megacyclite","KNa_8_Si_9_O_18_(OH)_9_·19H_2_O","K Na Si O H"
"Megakalsilite","Megakalsilite","KAlSiO_4_","K Al Si O"
"Megawite","Megawite","CaSnO_3_","Ca Sn^4+ O"
"Meieranite","Meieranite","Na_2_Sr_3_MgSi_6_O_17_","Na Sr Mg Si O"
"Meierite","Meierite","Ba_44_Si_66_Al_30_O_192_Cl_25_(OH)_33_","Ba Si Al O Cl H"
"Meifuite","Meifuite","KFe_6_(Si_7_Al)O_19_(OH)_4_Cl_2_","K Fe^2+ Si Al O H Cl"
"Meionite","Meionite","Ca_4_Al_6_Si_6_O_24_(CO_3_)","Ca Al Si O C"
"Meisserite","Meisserite","Na_5_(UO_2_)(SO_4_)_3_(SO_3_OH)(H_2_O)","Na U^6+ O S^6+ H"
"Meitnerite","Meitnerite","(NH_4_)(UO_2_)(SO_4_)(OH)·2H_2_O","N^3- H U^6+ O S^6+"
"Meixnerite","Meixnerite","Mg_6_Al_2_(OH)_16_(OH)_2_·4H_2_O","Mg Al O H"
"Mejillonesite","Mejillonesite","NaMg_2_(PO_3_OH)(PO_4_)(OH)·H_5_O_2_","Na Mg P O H"
"Melanarsite","Melanarsite","K_3_Cu_7_Fe^3+^O_4_(AsO_4_)_4_","K Cu^2+ Fe^3+ O As^5+"
"Melanocerite-(Ce)","Melanocerite-(Ce)","Ce_5_(SiO_4_,BO_4_)_3_(OH,O)","Ce Si O B H"
"Melanophlogite","Melanophlogite","C_2_H_17_O_5_·Si_46_O_92_","C H O Si"
"Melanostibite","Melanostibite","Mn^2+^(Sb^5+^,Fe^3+^)O_3_","Mn^2+ Sb^5+ Fe^3+ O"
"Melanotekite","Melanotekite","Pb_2_Fe^3+^_2_O_2_(Si_2_O_7_)","Pb^2+ Fe^3+ O Si"
"Melanothallite","Melanothallite","Cu_2_OCl_2_","Cu^2+ O Cl"
"Melanovanadite","Melanovanadite","Ca(V^5+^,V^4+^)_4_O_10_·5H_2_O","Ca V^4+ V^5+ O H"
"Melansonite","Melansonite","Na[box]KZrSi_8_O_19_·5H_2_O","Na K Zr^4+ Si O H"
"Melanterite","Melanterite","Fe(SO_4_)·7H_2_O","Fe^2+ S^6+ O H"
"Melcherite","Melcherite","Ba_2_Na_2_Mg[Nb_6_O_19_]·6H_2_O","Ba Na Mg Nb^5+ O H"
"Meliphanite","Meliphanite","Ca_4_(Na,Ca)_4_Be_4_AlSi_7_O_24_(F,O)_4_","Ca Na Be Al Si O F"
"Melkovite","Melkovite","CaFe^3+^_2_Mo_5_O_10_(PO_4_)_2_(OH)_12_·8H_2_O","Ca Fe^3+ Mo^6+ O P H"
