"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Aliettite","Aliettite","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca Mg Si Al O H"
"Allabogdanite","Allabogdanite","(Fe,Ni)_2_P","Fe Ni P"
"Allactite","Allactite","Mn^2+^_7_(AsO_4_)_2_(OH)_8_","Mn^2+ As^5+ O H"
"Allanite-(Ce)","Allanite-(Ce)","CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Ce Al Fe^2+ Si O H"
"Allanite-(La)","Allanite-(La)","CaLa(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca La Fe^2+ Al Si O H"
"Allanite-(Nd)","Allanite-(Nd)","CaNd(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Nd Al Fe^2+ Si O H"
"Allanite-(Y)","Allanite-(Y)","CaY(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Y Al Fe^2+ Si O H"
"Allanpringite","Allanpringite","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O","Fe^3+ P O H"
"Allantoin","Allantoin","C_4_H_6_N_4_O_3_","C H N O"
"Allargentum","Allargentum","Ag_1-x_Sb_x_ (x ≈ 0.09-0.16)","Ag Sb"
"Alleghanyite","Alleghanyite","Mn^2+^_5_(SiO_4_)_2_(OH)_2_","Mn^2+ Si O H"
"Allendeite","Allendeite","Sc_4_Zr_3_O_12_","Sc^3+ Zr^4+ O"
"Allochalcoselite","Allochalcoselite","Cu^1+^Cu^2+^_5_PbO_2_(SeO_3_)_2_Cl_5_","Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl"
"Alloclasite","Alloclasite","CoAsS","Co^3+ As S"
"Allophane","Allophane","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al O Si H"
"Alloriite","Alloriite","(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(SO_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_","Na K Ca Si Al O S^6+ S C H Cl"
"Alluaivite","Alluaivite","Na_19_(Ca,Mn^2+^)_6_(Ti,Nb)_3_Si_26_O_74_Cl·2H_2_O","Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H"
"Alluaudite","Alluaudite","[box]NaMnFe^3+^_2_(PO_4_)_3_","Na Mn^2+ Fe^3+ P O"
"Almandine","Almandine","Fe^2+^_3_Al_2_(SiO_4_)_3_","Fe^2+ Al Si O"
"Almarudite","Almarudite","K([box],Na)_2_(Mn,Fe,Mg)_2_[(Be,Al)_3_Si_12_]O_30_","K Na Mn^2+ Be Si O"
"Almeidaite","Almeidaite","PbZn_2_(Mn,Y)(Ti,Fe^3+^)_18_O_36_(OH,O)_2_","Pb^2+ Zn^2+ Mn^2+ Y^3+ Ti^4+ Fe^3+ O H"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe_2.5_Na_0.5_)(Al_4_)(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_","Ca Ce Na Al Si O H"
"Alpeite","Alpeite","Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(VO_4_)(OH)_6_","Ca Mn^3+ Al Mg Si O V^5+ H"
"Alpersite","Alpersite","Mg(SO_4_)·7H_2_O","Mg S^6+ O H"
"Alsakharovite-Zn","Alsakharovite-Zn","NaSrKZn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O","Na Sr K Zn^2+ Ti^4+ Nb^5+ Si O H"
"Alstonite","Alstonite","BaCa(CO_3_)_2_","Ba Ca C O"
"Altaite","Altaite","PbTe","Pb^2+ Te^2-"
"Alterite","Alterite","Zn_2_Fe^3+^_4_(SO_4_)_4_(C_2_O_4_)_2_(OH)_4_·17H_2_O","Zn^2+ Fe^3+ S^6+ O C H"
"Althausite","Althausite","Mg_4_(PO_4_)_2_(OH,O)(F,[box])","Mg P O H F"
"Althupite","Althupite","AlTh(UO_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O","Al Th^4+ U^6+ O P H"
"Altisite","Altisite","Na_3_K_6_Ti_2_Al_2_Si_8_O_26_Cl_3_","Na K Ti^4+ Al Si O Cl"
"Aluminite","Aluminite","Al_2_(SO_4_)(OH)_4_·7H_2_O","Al S^6+ O H"
"Aluminium","Aluminium","Al","Al"
"Aluminoceladonite","Aluminoceladonite","K(Mg,Fe^2+^)Al(Si_4_O_10_)(OH)_2_","K Mg Al Si O H"
"Aluminocerite-(Ce)","Aluminocerite-(Ce)","(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_","Ce Ca Al Si O H"
"Aluminocopiapite","Aluminocopiapite","(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O","Al Mg Fe^3+ S^6+ O H"
"Aluminocoquimbite","Aluminocoquimbite","Al_2_Fe_2_(SO_4_)_6_(H_2_O)_12_·9H_2_O","Al Fe^3+ S^6+ O H"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","Mg_2_AlO_2_(BO_3_)","Mg Al O B"
"Alumino-oxy-rossmanite","Alumino-oxy-rossmanite","Al_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_O","Al Si O B H"
"Aluminopyracmonite","Aluminopyracmonite","(NH_4_)_3_Al(SO_4_)_3_","N^3- H Al S^6+ O"
"Aluminosugilite","Aluminosugilite","KNa_2_Al_2_Li_3_Si_12_O_30_","K Na Al Li Si O"
"Alum-(K)","Alum-(K)","KAl(SO_4_)_2_·12H_2_O","K Al S^6+ O H"
"Alum-(Na)","Alum-(Na)","NaAl(SO_4_)_2_·12H_2_O","Na Al S^6+ O H"
"Alumoåkermanite","Alumoakermanite","(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)","Ca Na Al Mg Fe^2+ Si O"
"Alumoedtollite","Alumoedtollite","K_2_NaCu_5_AlO_2_(AsO_4_)_4_","K Na Cu^2+ Al O As^5+"
"Alumohydrocalcite","Alumohydrocalcite","CaAl_2_(CO_3_)_2_(OH)_4_·4H_2_O","Ca Al C O H"
"Alumoklyuchevskite","Alumoklyuchevskite","K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_","K Cu^2+ Al O S^6+"
"Alumotantite","Alumotantite","AlTaO_4_","Al Ta^5+ O"
"Alumovesuvianite","Alumovesuvianite","Ca_19_Al(Al_10_Mg_2_)Si_18_O_69_(OH)_9_","Ca Al Mg Si O H"
"Alunite","Alunite","KAl_3_(SO_4_)_2_(OH)_6_","K Al S^6+ O H"
"Alunogen","Alunogen","Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O","Al S^6+ O H"
"Alvanite","Alvanite","Zn^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O","Zn^2+ Al V^5+ O H"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","Y(UO_2_)_3_(SO_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O","Y^3+ U^6+ O S^6+ H"
"Amakinite","Amakinite","Fe(OH)_2_","Fe^2+ O H"
"Amamoorite","Amamoorite","CaMn^2+^_2_Mn^3+^(Si_2_O_7_)O(OH)","Ca Mn^2+ Mn^3+ Si O H"
"Amarantite","Amarantite","Fe^3+^_2_O(SO_4_)_2_·7H_2_O","Fe^3+ O S^6+ H"
"Amarillite","Amarillite","NaFe^3+^(SO_4_)_2_·6H_2_O","Na Fe^3+ S^6+ O H"
"Amblygonite","Amblygonite","LiAl(PO_4_)F","Li Al P O F"
"Ambrinoite","Ambrinoite","[K,(NH_4_)]_2_(As,Sb)_6_(Sb,As)_2_S_13_·H_2_O","K N^3- H As^3+ Sb^3+ S^2- O"
"Ameghinite","Ameghinite","NaB_3_O_3_(OH)_4_","Na B O H"
"Amesite","Amesite","Mg_2_Al(AlSiO_5_)(OH)_4_","Mg Al Si O H"
"Amgaite","Amgaite","Tl^3+^_2_Te^6+^O_6_","Tl^3+ Te^6+ O"
"Amicite","Amicite","K_2_Na_2_(Al_4_Si_4_O_16_)·5H_2_O","K Na Si Al O H"
"Aminoffite","Aminoffite","Ca_3_(BeOH)_2_Si_3_O_10_","Ca Be O H Si"
"Ammineite","Ammineite","CuCl_2_·2NH_3_","Cu^2+ Cl N^3- H"
"Ammonioalunite","Ammonioalunite","(NH_4_)Al_3_(SO_4_)_2_(OH)_6_","N^3- H Al S^6+ O"
"Ammonioborite","Ammonioborite","(NH_4_)_3_B_15_O_20_(OH)_8_·4H_2_O","N^3- H B O"
"Ammoniojarosite","Ammoniojarosite","(NH_4_)Fe^3+^_3_(SO_4_)_2_(OH)_6_","N^3- H Fe^3+ S^6+ O"
"Ammoniolasalite","Ammoniolasalite","[(NH_4_)_2_Mg_2_(H_2_O)_20_]·[V_10_O_28_]","N^3- H Mg O V^5+"
"Ammonioleucite","Ammonioleucite","(NH_4_)(AlSi_2_O_6_)","N^3- H Al Si O"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","(NH_4_)_2_Mg_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O","N^3- H Mg Fe^3+ Al S^6+ O"
"Ammoniomathesiusite","Ammoniomathesiusite","(NH_4_)_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)·4H_2_O","N^3- H U^6+ O S^6+ V^5+"
"Ammoniotinsleyite","Ammoniotinsleyite","(NH_4_)Al_2_(PO_4_)_2_(OH)·2H_2_O","N^3- H Al P O"
"Ammoniovoltaite","Ammoniovoltaite","(NH_4_)_2_Fe^2+^_5_Fe^3+^_3_Al(SO_4_)_12_(H_2_O)_18_","N^3- H Fe^2+ Fe^3+ Al S^6+ O"
"Ammoniozippeite","Ammoniozippeite","(NH_4_)_2_[(UO_2_)_2_(SO_4_)O_2_]·H_2_O","N^3- H U^6+ O S^6+"
"Amstallite","Amstallite","CaAl[(Al,Si)_4_O_8_(OH)_2_](OH)_2_·(H_2_O,Cl)","Ca Al Si O H Cl"
"Analcime","Analcime","Na(AlSi_2_O_6_)·H_2_O","Na Al Si O H"
"Anandite","Anandite","BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH)","Ba Fe^2+ Si Fe^3+ O S^2- H"
"Anapaite","Anapaite","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O","Ca Fe^2+ P O H"
