"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Almarudite","Almarudite","K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30","K Na Mn Fe Mg Be Al Si O"
"Almeidaite","Almeidaite","PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2","Pb Zn Mn Y Ti Fe O H"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2","Ca Ce Na Al Si O H"
"Alpeite","Alpeite","Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6","Ca Mn Al Mg Si O V H"
"Alpersite","Alpersite","Mg(SO4)·7H2O","Mg S O H"
"Alsakharovite-Zn","Alsakharovite-Zn","NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O","Na Sr K Zn Ti Nb Si O H"
"Alstonite","Alstonite","BaCa(CO3)2","Ba Ca C O"
"Altaite","Altaite","PbTe","Pb Te"
"Alterite","Alterite","Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O","Zn Fe S O C H"
"Althausite","Althausite","Mg4(PO4)2(OH,O)(F,[box])","Mg P O H F"
"Althupite","Althupite","AlTh(UO2)7(PO4)4O2(OH)5·15H2O","Al Th U O P H"
"Altisite","Altisite","Na3K6Ti2Al2Si8O26Cl3","Na K Ti Al Si O Cl"
"Aluminite","Aluminite","Al2(SO4)(OH)4·7H2O","Al S O H"
"Aluminium","Aluminium","Al","Al"
"Aluminobarroisite","Aluminobarroisite","[box]NaCa(Mg3Al2)(Si7Al)O22(OH)2","Na Ca Mg Al Si O H"
"Aluminoceladonite","Aluminoceladonite","K(Mg,Fe2+)Al(Si4O10)(OH)2","K Mg Fe Al Si O H"
"Aluminocerite-(Ce)","Aluminocerite-(Ce)","(Ce,REE,Ca)9(Al,Fe3+)(SiO4)3[SiO3(OH)]4(OH)3","Ce REE Ca Al Fe Si O H"
"Aluminocopiapite","Aluminocopiapite","(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O","Al Mg Fe S O H"
"Aluminocoquimbite","Aluminocoquimbite","Al2Fe2(SO4)6(H2O)12·9H2O","Al Fe S O H"
"Alumino-ferrobarroisite","Alumino-ferrobarroisite","[box]NaCa[Fe2+3Al2](Si7Al)O22(OH)2","Na Ca Fe Al Si O H"
"Alumino-ferrohornblende","Alumino-ferrohornblende","Ca2Fe2+4Al(Si7Al)O22(OH)2","Ca Fe Al Si O H"
"Alumino-ferrotschermakite","Alumino-ferrotschermakite","[box]Ca2[Fe2+3Al2](Si6Al2)O22(OH)2","Ca Fe Al Si O H"
"Alumino-ferrowinchite","Alumino-ferrowinchite","[box]NaCa(Fe2+,Al)5Si8O22(OH)2","Na Ca Fe Al Si O H"
"Aluminokatophorite","Aluminokatophorite","Na2CaFe2+4Al(Si7Al)O22(OH)2","Na Ca Fe Al Si O H"
"Alumino-magnesiohornblende","Alumino-magnesiohornblende","Ca2(Mg4Al)(Si7Al)O22(OH)2","Ca Mg Al Si O H"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","Mg2AlO2(BO3)","Mg Al O B"
"Alumino-magnesiotaramite","Alumino-magnesiotaramite","Na2CaMg3Al2(Si6Al2)O22(OH)2","Na Ca Mg Al Si O H"
"Alumino-ottoliniite","Alumino-ottoliniite","[box]NaLi(Mg3Al2)Si8O22(OH)2","Na Li Mg Al Si O H"
"Alumino-oxy-rossmanite","Alumino-oxy-rossmanite","Al3Al6(Si5AlO18)(BO3)3(OH)3O","Al Si O B H"
"Aluminopyracmonite","Aluminopyracmonite","(NH4)3Al(SO4)3","N H Al S O"
"Aluminosugilite","Aluminosugilite","KNa2Al2Li3Si12O30","K Na Al Li Si O"
"Aluminotschermakite","Aluminotschermakite","[box]Ca2(Mg3Al2)(Si6Al2)O22(OH)2","Ca Mg Al Si O H"
"Aluminowinchite","Aluminowinchite","NaCa(Mg4Al)Si8O22(OH)2","Na Ca Mg Al Si O H"
"Alum-(K)","Alum-(K)","KAl(SO4)2·12H2O","K Al S O H"
"Alum-(Na)","Alum-(Na)","NaAl(SO4)2·12H2O","Na Al S O H"
"Alumoåkermanite","Alumoakermanite","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","Ca Na Al Mg Fe Si O"
"Alumoedtollite","Alumoedtollite","K2NaCu5AlO2(AsO4)4","K Na Cu Al O As"
"Alumohydrocalcite","Alumohydrocalcite","CaAl2(CO3)2(OH)4·4H2O","Ca Al C O H"
"Alumoklyuchevskite","Alumoklyuchevskite","K3Cu2+3AlO2(SO4)4","K Cu Al O S"
"Alumotantite","Alumotantite","AlTaO4","Al Ta O"
"Alumotungstite","Alumotungstite","(H2O,Ca)x(W,Al)2(O,OH)6·nH2O","H O Ca W Al"
"Alumovesuvianite","Alumovesuvianite","Ca19Al(Al10Mg2)Si18O69(OH)9","Ca Al Mg Si O H"
"Alunite","Alunite","KAl3(SO4)2(OH)6","K Al S O H"
"Alunogen","Alunogen","Al2(SO4)3(H2O)12·5H2O","Al S O H"
"Alvanite","Alvanite","Zn2+Al4(V5+O3)2(OH)12·2H2O","Zn Al V O H"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O","Y U O S H"
"Amakinite","Amakinite","Fe(OH)2","Fe O H"
"Amamoorite","Amamoorite","CaMn2+2Mn3+(Si2O7)O(OH)","Ca Mn Si O H"
"Amarantite","Amarantite","Fe3+2O(SO4)2·7H2O","Fe O S H"
"Amarillite","Amarillite","NaFe3+(SO4)2·6H2O","Na Fe S O H"
"Amblygonite","Amblygonite","LiAl(PO4)F","Li Al P O F"
