"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Kokchetavite","Kokchetavite","K(AlSi3O8)","K Al Si O"
"Kokinosite","Kokinosite","Na2Ca2(V10O28)·24H2O","Na Ca V O H"
"Koksharovite","Koksharovite","CaMg2Fe3+4(VO4)6","Ca Mg Fe V O"
"Koktaite","Koktaite","(NH4)2Ca(SO4)2·H2O","N H Ca S O"
"Kolarite","Kolarite","PbTeCl2","Pb Te Cl"
"Kolbeckite","Kolbeckite","Sc(PO4)·2H2O","Sc P O H"
"Kolfanite","Kolfanite","Ca2Fe3+3O2(AsO4)3·2H2O","Ca Fe O As H"
"Kolicite","Kolicite","Zn4Mn2+7(AsO4)2(SiO4)2(OH)8","Zn Mn As O Si H"
"Kolitschite","Kolitschite","Pb[Zn0.5,[box]0.5]Fe3(AsO4)2(OH)6","Pb Zn Fe As O H"
"Kollerite","Kollerite","(NH4)2Fe3+(SO3)2(OH)·H2O","N H Fe S O"
"Kolovratite","Kolovratite","(Ni,Zn)x(VO4)·nH2O","Ni Zn V O H"
"Kolskyite","Kolskyite","(Ca[box])Ti2Na2Ti2(Si2O7)2O4(H2O)7","Ca Ti Na Si O H"
"Kolwezite","Kolwezite","CuCo(CO3)(OH)2","Cu Co C O H"
"Kolymite","Kolymite","Cu7Hg6","Cu Hg"
"Komarovite","Komarovite","(Ca,Sr,Na)6-x(Nb,Ti)6(Si4O12)(O,OH,F)16·nH2O","Ca Sr Na Nb Ti Si O H F"
"Kombatite","Kombatite","Pb14O9(VO4)2Cl4","Pb O V Cl"
"Komkovite","Komkovite","BaZrSi3O9·3H2O","Ba Zr Si O H"
"Konderite","Konderite","PbCu3Rh8S16","Pb Cu Rh S"
"Koninckite","Koninckite","Fe3+(PO4)·3H2O","Fe P O H"
"Kononovite","Kononovite","NaMg(SO4)F","Na Mg S O F"
"Konyaite","Konyaite","Na2Mg(SO4)2·5H2O","Na Mg S O H"
"Koragoite","Koragoite","Mn2+2Mn3+Nb2(Nb,Ta)3W2O20","Mn Nb Ta W O"
"Koritnigite","Koritnigite","Zn(AsO3OH)·H2O","Zn As O H"
"Kornelite","Kornelite","Fe3+2(SO4)3·7H2O (?)","Fe S O H"
"Kornerupine","Kornerupine","(Mg,Fe2+,Al,[box])10(Si,Al,B)5O21(OH,F)2","Mg Fe Al Si B O H F"
"Korobitsynite","Korobitsynite","(Na,[box])4Ti2(Si4O12)(O,OH)2·4H2O","Na Ti Si O H"
"Korshunovskite","Korshunovskite","Mg2Cl(OH)3·4H2O","Mg Cl O H"
"Koryakite","Koryakite","NaKMg2Al2(SO4)6","Na K Mg Al S O"
"Korzhinskite","Korzhinskite","CaB2O4·0.5H2O","Ca B O H"
"Kosmochlor","Kosmochlor","NaCr3+Si2O6","Na Cr Si O"
"Kosnarite","Kosnarite","KZr2(PO4)3","K Zr P O"
"Kostovite","Kostovite","AuCuTe4","Au Cu Te"
"Kostylevite","Kostylevite","K2ZrSi3O9·H2O","K Zr Si O H"
"Kotoite","Kotoite","Mg3(BO3)2","Mg B O"
"Kottenheimite","Kottenheimite","Ca3Si(SO4)2(OH)6·12H2O","Ca Si S O H"
"Köttigite","Kottigite","Zn3(AsO4)2·8H2O","Zn As O H"
"Kotulskite","Kotulskite","Pd(Te,Bi)2-x (x ≈ 0.4)","Pd Te Bi"
"Koutekite","Koutekite","Cu5As2","Cu As"
"Kovdorskite","Kovdorskite","Mg2(PO4)(OH)·3H2O","Mg P O H"
"Kozłowskiite","Kozlowskiite","Ca4Fe2+Sn3(Si2O7)2(Si2O6OH)2","Ca Fe Sn Si O H"
"Kozoite-(La)","Kozoite-(La)","La(CO3)(OH)","La C O H"
"Kozoite-(Nd)","Kozoite-(Nd)","Nd(CO3)(OH)","Nd C O H"
"Kozyrevskite","Kozyrevskite","Cu4O(AsO4)2","Cu O As"
"Kraisslite","Kraisslite","Zn3(Mn,Mg)25(Fe3+,Al)(As3+O3)2[(Si,As5+)O4]10(OH)16","Zn Mn Mg Fe Al As O Si H"
"Krasheninnikovite","Krasheninnikovite","KNa2CaMg(SO4)3F","K Na Ca Mg S O F"
"Krásnoite","Krasnoite","Ca3Al7.7Si3P4O22.9(OH)13.3F2·8H2O","Ca Al Si P O H F"
"Krasnoshteinite","Krasnoshteinite","Al8[B2O4(OH)2](OH)16Cl4·7H2O","Al B O H Cl"
"Krasnovite","Krasnovite","Ba(Al,Mg)(PO4,CO3)(OH)2·H2O","Ba Al Mg P O C H"
"Kratochvílite","Kratochvilite","C13H10","C H"
"Krausite","Krausite","KFe3+(SO4)2·H2O","K Fe S O H"
"Krauskopfite","Krauskopfite","BaSi2O5·3H2O","Ba Si O H"
"Krautite","Krautite","Mn(AsO3OH)·H2O","Mn As O H"
"Kravtsovite","Kravtsovite","PdAg2S","Pd Ag S"
"Kreiterite","Kreiterite","CsLi2Fe3+Si4O10F2","Cs Li Fe Si O F"
"Kremersite","Kremersite","(NH4)2Fe3+Cl5·H2O","N H Fe Cl O"
"Krennerite","Krennerite","Au3AgTe8","Au Ag Te"
"Krettnichite","Krettnichite","PbMn3+2(VO4)2(OH)2","Pb Mn V O H"
"Kribergite","Kribergite","Al5(PO4)3(SO4)(OH)4·4H2O","Al P O S H"
"Krieselite","Krieselite","Al2(GeO4)F2","Al Ge O F"
"Krinovite","Krinovite","Na4[Mg8Cr3+4]O4[Si12O36]","Na Mg Cr O Si"
"Kristiansenite","Kristiansenite","Ca2ScSn(Si2O7)(Si2O6OH)","Ca Sc Sn Si O H"
"Krivovichevite","Krivovichevite","Pb3Al(OH)6(SO4)(OH)","Pb Al O H S"
"Kröhnkite","Krohnkite","Na2Cu(SO4)2·2H2O","Na Cu S O H"
"Krotite","Krotite","CaAl2O4","Ca Al O"
"Kroupaite","Kroupaite","KPb0.5[(UO2)8O4(OH)10]·10H2O","K Pb U O H"
"Kruijenite","Kruijenite","Ca4Al4(SO4)F2(OH)16·2H2O","Ca Al S O F H"
"Krupičkaite","Krupickaite","Cu6[AsO3(OH)]6·8H2O","Cu As O H"
"Krupkaite","Krupkaite","PbCuBi3S6","Pb Cu Bi S"
"Krut'aite","Krutaite","CuSe2","Cu Se"
"Krutovite","Krutovite","NiAs2","Ni As"
"Kryachkoite","Kryachkoite","(Al,Cu)6(Fe,Cu)","Al Cu Fe"
"Kryzhanovskite","Kryzhanovskite","(Fe3+,Mn2+)3(PO4)2(OH,H2O)3","Fe Mn P O H"
"Ktenasite","Ktenasite","ZnCu4(SO4)2(OH)6·6H2O","Zn Cu S O H"
"Kuannersuite-(Ce)","Kuannersuite-(Ce)","NaCeBa3(PO4)3F0.5Cl0.5","Na Ce Ba P O F Cl"
"Kudriavite","Kudriavite","(Cd,Pb)Bi2S4","Cd Pb Bi S"
"Kudryavtsevaite","Kudryavtsevaite","Na3MgFe3+Ti4O12","Na Mg Fe Ti O"
"Kufahrite","Kufahrite","PtPb","Pt Pb"
"Kukharenkoite-(Ce)","Kukharenkoite-(Ce)","Ba2Ce(CO3)3F","Ba Ce C O F"
"Kukharenkoite-(La)","Kukharenkoite-(La)","Ba2La(CO3)3F","Ba La C O F"
"Kukisvumite","Kukisvumite","Na6ZnTi4O4(SiO3)8·4H2O","Na Zn Ti O Si H"
"Kuksite","Kuksite","Pb3Zn3TeO6(PO4)2","Pb Zn Te O P"
"Kulanite","Kulanite","BaFe2+2Al2(PO4)3(OH)3","Ba Fe Al P O H"
"Kuliginite","Kuliginite","Fe3Mg(OH)6Cl2","Fe Mg O H Cl"
"Kuliokite-(Y)","Kuliokite-(Y)","Y4Al(SiO4)2(OH)2F5","Y Al Si O H F"
"Kulkeite","Kulkeite","Na0.3Mg8Al(Si,Al)8O20(OH)10","Na Mg Al Si O H"
"Kullerudite","Kullerudite","NiSe2","Ni Se"
"Kumdykolite","Kumdykolite","Na(AlSi3O8)","Na Al Si O"
"Kummerite","Kummerite","Mn2+Fe3+Al(PO4)2(OH)2·8H2O","Mn Fe Al P O H"
"Kumtyubeite","Kumtyubeite","Ca5(SiO4)2F2","Ca Si O F"
"Kunatite","Kunatite","CuFe3+2(PO4)2(OH)2·4H2O","Cu Fe P O H"
"Kupčíkite","Kupcikite","Cu3.4Fe0.6Bi5S10","Cu Fe Bi S"
"Kupletskite","Kupletskite","K2NaMn2+7Ti2(Si4O12)2O2(OH)4F","K Na Mn Ti Si O H F"
"Kupletskite-(Cs)","Kupletskite-(Cs)","Cs2NaMn2+7Ti2(Si4O12)2O2(OH)4F","Cs Na Mn Ti Si O H F"
"Kuramite","Kuramite","Cu3SnS4","Cu Sn S"
"Kuranakhite","Kuranakhite","PbMn4+Te6+O6","Pb Mn Te O"
"Kuratite","Kuratite","Ca2(Fe2+5Ti)O2[Si4Al2O18]","Ca Fe Ti O Si Al"
"Kurchatovite","Kurchatovite","CaMgB2O5","Ca Mg B O"
"Kurgantaite","Kurgantaite","CaSrB5O9Cl·H2O","Ca Sr B O Cl H"
"Kurilite","Kurilite","Ag8Te3Se","Ag Te Se"
"Kurnakovite","Kurnakovite","MgB3O3(OH)5·5H2O","Mg B O H"
"Kurumsakite","Kurumsakite","Zn8Al8V5+2Si5O35·27H2O (?)","Zn Al V Si O H"
"Kusachiite","Kusachiite","Cu2+Bi3+2O4","Cu Bi O"
"Kushiroite","Kushiroite","CaAlAlSiO6","Ca Al Si O"
"Kutinaite","Kutinaite","Ag6Cu14As7","Ag Cu As"
"Kutnohorite","Kutnohorite","CaMn2+(CO3)2","Ca Mn C O"
"Kuvaevite","Kuvaevite","Ir5Ni10S16","Ir Ni S"
"Kuzelite","Kuzelite","Ca4Al2(OH)12(SO4)·6H2O","Ca Al O H S"
"Kuzmenkoite-Mn","Kuzmenkoite-Mn","K2MnTi4(Si4O12)2(OH)4·5-6H2O","K Mn Ti Si O H"
"Kuzmenkoite-Zn","Kuzmenkoite-Zn","K2ZnTi4(Si4O12)2(OH)4·6-8H2O","K Zn Ti Si O H"
"Kuzminite","Kuzminite","HgBr","Hg Br"
"Kuznetsovite","Kuznetsovite","Hg1+2Hg2+(AsO4)Cl","Hg As O Cl"
"Kvanefjeldite","Kvanefjeldite","Na4CaSi6O14(OH)2","Na Ca Si O H"
"Kyanite","Kyanite","Al2OSiO4","Al O Si"
"Kyanoxalite","Kyanoxalite","Na7(Al5-6Si6-7O24)(C2O4)0.5-1.0·5H2O","Na Al Si O C H"
"Kyawthuite","Kyawthuite","Bi3+Sb5+O4","Bi Sb O"
"Kyrgyzstanite","Kyrgyzstanite","ZnAl4(SO4)(OH)12·3H2O","Zn Al S O H"
"Kyzylkumite","Kyzylkumite","Ti2V3+O5(OH)","Ti V O H"
"Laachite","Laachite","(Ca,Mn)2Zr2Nb2TiFeO14","Ca Mn Zr Nb Ti Fe O"
"Labradorite","Labradorite","(Ca,Na)(Si,Al)4O8","Ca Na Si Al O"
"Labuntsovite-Fe","Labuntsovite-Fe","Na4K4Fe2+2Ti8O4(Si4O12)4(OH)4·10-12H2O","Na K Fe Ti O Si H"
"Labuntsovite-Mg","Labuntsovite-Mg","Na4K4Mg2Ti8O4(Si4O12)4(OH)4·10-12H2O","Na K Mg Ti O Si H"
"Labuntsovite-Mn","Labuntsovite-Mn","Na4K4Mn2+2Ti8O4(Si4O12)4(OH)4·10-12H2O","Na K Mn Ti O Si H"
"Labyrinthite","Labyrinthite","(Na,K,Sr)35Ca12Fe3Zr6TiSi51O144(O,OH,H2O)9Cl3","Na K Sr Ca Fe Zr Ti Si O H Cl"
"Lacroixite","Lacroixite","NaAl(PO4)F","Na Al P O F"
"Laffittite","Laffittite","AgHgAsS3","Ag Hg As S"
"Laflammeite","Laflammeite","Pd3Pb2S2","Pd Pb S"
"Laforêtite","Laforetite","AgInS2","Ag In S"
"Lafossaite","Lafossaite","TlCl","Tl Cl"
"Lagalyite","Lagalyite","Ca2xMn1-xO2·1.5-2H2O (x = 0.05-0.08)","Ca Mn O H"
"Lahnsteinite","Lahnsteinite","Zn4(SO4)(OH)6·3H2O","Zn S O H"
"Laihunite","Laihunite","(Fe3+,Fe2+,[box])2(SiO4)","Fe Si O"
"Laitakarite","Laitakarite","Bi4(Se,S)3","Bi Se S"
"Lakargiite","Lakargiite","CaZrO3","Ca Zr O"
"Lakebogaite","Lakebogaite","NaCaFe2H(UO2)2(PO4)4(OH)2·8H2O","Na Ca Fe H U O P"
"Lalondeite","Lalondeite","(Na,Ca)6(Ca,Na)3Si16O38(F,OH)2·3H2O","Na Ca Si O F H"
"Lammerite","Lammerite","Cu3(AsO4)2","Cu As O"
"Lammerite-β","Lammerite-beta","Cu3(AsO4)2","Cu As O"
"Lamprophyllite","Lamprophyllite","(SrNa)Ti2Na3Ti(Si2O7)2O2(OH)2","Sr Na Ti Si O H"
"Lanarkite","Lanarkite","Pb2O(SO4)","Pb O S"
"Landauite","Landauite","(Na,Pb)(Mn2+,Y)(Zn,Fe)2(Ti,Fe3+,Nb)18(O,OH,F)O38","Na Pb Mn Y Zn Fe Ti Nb O H F"
"Landesite","Landesite","Mn2+9Fe3+3(PO4)8(OH)3·9H2O","Mn Fe P O H"
"Långbanite","Langbanite","Mn2+4Mn3+9Sb5+O16(SiO4)2","Mn Sb O Si"
"Långbanshyttanite","Langbanshyttanite","Pb2Mn2Mg(AsO4)2(OH)4·6H2O","Pb Mn Mg As O H"
"Langbeinite","Langbeinite","K2Mg2(SO4)3","K Mg S O"
"Langhofite","Langhofite","Pb2(OH)[WO4(OH)]","Pb O H W"
"Langisite","Langisite","CoAs","Co As"
"Langite","Langite","Cu4(SO4)(OH)6·2H2O","Cu S O H"
"Lanmuchangite","Lanmuchangite","TlAl(SO4)2·12H2O","Tl Al S O H"
"Lannonite","Lannonite","HCa4Mg2Al4(SO4)8F9·32H2O","H Ca Mg Al S O F"
"Lansfordite","Lansfordite","Mg(CO3)·5H2O","Mg C O H"
"Lanthanite-(Ce)","Lanthanite-(Ce)","Ce2(CO3)3·8H2O","Ce C O H"
"Lanthanite-(La)","Lanthanite-(La)","La2(CO3)3·8H2O","La C O H"
"Lanthanite-(Nd)","Lanthanite-(Nd)","Nd2(CO3)3·8H2O","Nd C O H"
"Lapeyreite","Lapeyreite","Cu3O[AsO3(OH)]2·H2O","Cu O As H"
"Laphamite","Laphamite","As2Se3","As Se"
"Lapieite","Lapieite","CuNiSbS3","Cu Ni Sb S"
"Laplandite-(Ce)","Laplandite-(Ce)","Na4CeTiPSi7O22·5H2O","Na Ce Ti P Si O H"
"Laptevite-(Ce)","Laptevite-(Ce)","NaFe2+(REE7Ca5Y3)(SiO4)4(Si3B2PO18)(BO3)F11","Na Fe REE Ca Y Si O B P F"
"Larderellite","Larderellite","(NH4)B5O7(OH)2·H2O","N H B O"
"Larisaite","Larisaite","Na(H3O)(UO2)3(Se4+O3)2O2·4H2O","Na H O U Se"
"Larnite","Larnite","Ca2(SiO4)","Ca Si O"
"Larosite","Larosite","(Cu,Ag)21PbBiS13","Cu Ag Pb Bi S"
"Larsenite","Larsenite","ZnPb(SiO4)","Zn Pb Si O"
"Lasalite","Lasalite","Na2Mg2V10O28·20H2O","Na Mg V O H"
"Lasnierite","Lasnierite","(Ca,Sr)(Mg,Fe2+)2Al(PO4)3","Ca Sr Mg Fe Al P O"
"Latiumite","Latiumite","(Ca,K)4(Si,Al)5O11(SO4,CO3)","Ca K Si Al O S C"
"Latrappite","Latrappite","Ca2NbFe3+O6","Ca Nb Fe O"
"Laueite","Laueite","Mn2+Fe3+2(PO4)2(OH)2·8H2O","Mn Fe P O H"
"Laumontite","Laumontite","CaAl2Si4O12·4H2O","Ca Al Si O H"
"Launayite","Launayite","CuPb10(Sb,As)13S20","Cu Pb Sb As S"
"Lauraniite","Lauraniite","Cu6Cd2(SO4)2(OH)12·5H2O","Cu Cd S O H"
"Laurelite","Laurelite","Pb7F12Cl2","Pb F Cl"
"Laurentianite","Laurentianite","[NbO(H2O)]3(Si2O7)2[Na(H2O)2]3","Nb O H Si Na"
"Laurentthomasite","Laurentthomasite","Mg2K(Be2Al)Si12O30","Mg K Be Al Si O"
"Laurionite","Laurionite","PbCl(OH)","Pb Cl O H"
"Laurite","Laurite","RuS2","Ru S"
"Lausenite","Lausenite","Fe3+2(SO4)3·5H2O","Fe S O H"
"Lautarite","Lautarite","Ca(IO3)2","Ca I O"
"Lautenthalite","Lautenthalite","PbCu4(SO4)2(OH)6·3H2O","Pb Cu S O H"
"Lautite","Lautite","CuAsS","Cu As S"
"Lavendulan","Lavendulan","NaCaCu5(AsO4)4Cl·5H2O","Na Ca Cu As O Cl H"
"Låvenite","Lavenite","(Na,Ca)4(Mn2+,Fe2+)2(Zr,Ti,Nb)2(Si2O7)2(O,F)4","Na Ca Mn Fe Zr Ti Nb Si O F"
"Laverovite","Laverovite","K2NaMn7Zr2(Si4O12)2O2(OH)4F","K Na Mn Zr Si O H F"
"Lavinskyite","Lavinskyite","K(LiCu)Cu6(Si4O11)2(OH)4","K Li Cu Si O H"
"Lavoisierite","Lavoisierite","Mn2+8[Al10(Mn3+Mg)][Si11P]O44(OH)12","Mn Al Mg Si P O H"
"Lavrentievite","Lavrentievite","Hg3S2Cl2","Hg S Cl"
"Lawrencite","Lawrencite","FeCl2","Fe Cl"
"Lawsonbauerite","Lawsonbauerite","Mn2+9Zn4(SO4)2(OH)22·8H2O","Mn Zn S O H"
"Lawsonite","Lawsonite","CaAl2(Si2O7)(OH)2·H2O","Ca Al Si O H"
"Lazaraskeite","Lazaraskeite","Cu(C2H3O3)2","Cu C H O"
"Lazarenkoite","Lazarenkoite","CaFe3+As3+3O7·3H2O","Ca Fe As O H"
"Lazaridisite","Lazaridisite","Cd3(SO4)3·8H2O","Cd S O H"
"Lazulite","Lazulite","MgAl2(PO4)2(OH)2","Mg Al P O H"
"Lazurite","Lazurite","Na7Ca(Al6Si6O24)(SO4)(S3)1-·H2O","Na Ca Al Si O S H"
"Lead","Lead","Pb","Pb"
"Leadamalgam","Leadamalgam","HgPb2","Hg Pb"
"Leadhillite","Leadhillite","Pb4(SO4)(CO3)2(OH)2","Pb S O C H"
"Lechatelierite","Lechatelierite","SiO2","Si O"
"Lecontite","Lecontite","(NH4)Na(SO4)·2H2O","N H Na S O"
"Lecoqite-(Y)","Lecoqite-(Y)","Na3Y(CO3)3·6H2O","Na Y C O H"
"Leesite","Leesite","K(H2O)2[(UO2)4O2(OH)5]·3H2O","K H O U"
"Lefontite","Lefontite","Fe2Al2Be(PO4)2(OH)6","Fe Al Be P O H"
"Legrandite","Legrandite","Zn2(AsO4)(OH)·H2O","Zn As O H"
"Leguernite","Leguernite","Bi12.67O14(SO4)5","Bi O S"
"Lehmannite","Lehmannite","Na18Cu12TiO8(AsO4)8FCl5","Na Cu Ti O As F Cl"
"Lehnerite","Lehnerite","Mn2+(UO2)2(PO4)2·8H2O","Mn U O P H"
"Leifite","Leifite","Na7Be2(Si15Al3)O39(F,OH)2","Na Be Si Al O F H"
"Leightonite","Leightonite","K2Ca2Cu(SO4)4·2H2O","K Ca Cu S O H"
"Leisingite","Leisingite","Cu2MgTe6+O6·6H2O","Cu Mg Te O H"
"Leiteite","Leiteite","ZnAs3+2O4","Zn As O"
"Lemanskiite","Lemanskiite","NaCaCu5(AsO4)4Cl·3H2O","Na Ca Cu As O Cl H"
"Lemmleinite-Ba","Lemmleinite-Ba","Na4K4Ba2+xTi8(Si4O12)4(OH,O)8·8H2O","Na K Ba Ti Si O H"
"Lemmleinite-K","Lemmleinite-K","Na4K8Ti8(Si4O12)4(OH,O)8·8H2O","Na K Ti Si O H"
"Lemoynite","Lemoynite","Na2CaZr2Si10O26·5-6H2O","Na Ca Zr Si O H"
"Lenaite","Lenaite","AgFeS2","Ag Fe S"
"Lengenbachite","Lengenbachite","Ag4Cu2Pb18As12S39","Ag Cu Pb As S"
"Leningradite","Leningradite","PbCu3(VO4)2Cl2","Pb Cu V O Cl"
"Lennilenapeite","Lennilenapeite","K7(Mg,Mn2+,Fe2+,Zn)48(Si,Al)72(O,OH)216·16H2O","K Mg Mn Fe Zn Si Al O H"
"Lenoblite","Lenoblite","V4+2O4·2H2O","V O H"
"Leogangite","Leogangite","Cu10(AsO4)4(SO4)(OH)6·8H2O","Cu As O S H"
"Leonardsenite","Leonardsenite","MgAlF5·2H2O","Mg Al F H O"
"Leonite","Leonite","K2Mg(SO4)2·4H2O","K Mg S O H"
"Leószilárdite","Leoszilardite","Na6Mg(UO2)2(CO3)6·6H2O","Na Mg U O C H"
"Lepageite","Lepageite","Mn2+3(Fe3+7Fe2+4)O3[Sb3+5As3+8O34]","Mn Fe O Sb As"
"Lepersonnite-(Gd)","Lepersonnite-(Gd)","CaGd2(UO2)24(CO3)8Si4O28·60H2O","Ca Gd U O C Si H"
"Lepersonnite-(Nd)","Lepersonnite-(Nd)","Nd4(UO2)24(SiO4)4(CO3)8(OH)28·48H2O","Nd U O Si C H"
"Lepidocrocite","Lepidocrocite","Fe3+O(OH)","Fe O H"
"Lepkhenelmite-Zn","Lepkhenelmite-Zn","Ba2Zn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O","Ba Zn Ti Nb Si O H"
"Lermontovite","Lermontovite","U4+(PO4)(OH)·H2O","U P O H"
"Lesukite","Lesukite","Al2(OH)5Cl·2H2O","Al O H Cl"
"Letovicite","Letovicite","(NH4)3H(SO4)2","N H S O"
"Leucite","Leucite","K(AlSi2O6)","K Al Si O"
"Leucophanite","Leucophanite","NaCaBeSi2O6F","Na Ca Be Si O F"
"Leucophoenicite","Leucophoenicite","Mn2+7(SiO4)3(OH)2","Mn Si O H"
"Leucophosphite","Leucophosphite","KFe3+2(PO4)2(OH)·2H2O","K Fe P O H"
"Leucosphenite","Leucosphenite","Na4BaTi2B2Si10O30","Na Ba Ti B Si O"
"Leucostaurite","Leucostaurite","Pb2[B5O9]Cl·0.5H2O","Pb B O Cl H"
"Levantite","Levantite","KCa3Al2(SiO4)(Si2O7)(PO4)","K Ca Al Si O P"
"Leverettite","Leverettite","Cu3CoCl2(OH)6","Cu Co Cl O H"
"Levinsonite-(Y)","Levinsonite-(Y)","YAl(SO4)2(C2O4)·12H2O","Y Al S O C H"
"Lévyclaudite","Levyclaudite","Pb8Cu3Sn7(Bi,Sb)3S28","Pb Cu Sn Bi Sb S"
"Lévyne-Ca","Levyne-Ca","Ca3(Si12Al6)O36·18H2O","Ca Si Al O H"
"Lévyne-Na","Levyne-Na","Na6(Si12Al6)O36·18H2O","Na Si Al O H"
"Leydetite","Leydetite","Fe(UO2)(SO4)2·11H2O","Fe U O S H"
"Liandratite","Liandratite","U6+Nb2O8","U Nb O"
"Liberite","Liberite","Li2Be(SiO4)","Li Be Si O"
"Libethenite","Libethenite","Cu2(PO4)(OH)","Cu P O H"
"Liebauite","Liebauite","Ca3Cu5Si9O26","Ca Cu Si O"
"Liebenbergite","Liebenbergite","Ni2(SiO4)","Ni Si O"
"Liebermannite","Liebermannite","KAlSi3O8","K Al Si O"
"Liebigite","Liebigite","Ca2(UO2)(CO3)3·11H2O","Ca U O C H"
"Liguowuite","Liguowuite","WO3","W O"
"Liguriaite","Liguriaite","K(LiCu)Cu6(Si4O11)2(OH)4","K Li Cu Si O H"
"Likasite","Likasite","Cu3(NO3)(OH)5·2H2O","Cu N O H"
"Lileyite","Lileyite","Ba2Ti2Na2Fe2+Mg(Si2O7)2O2F2","Ba Ti Na Fe Mg Si O F"
"Lillianite","Lillianite","Pb3-2xAgxBi2+xS6","Pb Ag Bi S"
"Lime","Lime","CaO","Ca O"
"Limousinite","Limousinite","BaCa[Be4P4O16]·6H2O","Ba Ca Be P O H"
"Linarite","Linarite","CuPb(SO4)(OH)2","Cu Pb S O H"
"Lindackerite","Lindackerite","Cu5(AsO4)2(AsO3OH)2·9H2O","Cu As O H"
"Lindbergite","Lindbergite","Mn(C2O4)·2H2O","Mn C O H"
"Lindgrenite","Lindgrenite","Cu3(Mo6+O4)2(OH)2","Cu Mo O H"
"Lindqvistite","Lindqvistite","Pb2Mn2+Fe3+16O27","Pb Mn Fe O"
"Lindsleyite","Lindsleyite","(Ba,Sr)(Zr,Ca)(Fe,Mg)2(Ti,Cr,Fe)18O38","Ba Sr Zr Ca Fe Mg Ti Cr O"
"Lindströmite","Lindstromite","Pb3Cu3Bi7S15","Pb Cu Bi S"
"Línekite","Linekite","K2Ca3[(UO2)(CO3)3]2·8H2O","K Ca U O C H"
"Lingbaoite","Lingbaoite","AgTe3","Ag Te"
"Lingunite","Lingunite","NaAlSi3O8","Na Al Si O"
"Linnaeite","Linnaeite","Co2+Co3+2S4","Co S"
"Lintisite","Lintisite","Na3LiTi2O2(SiO3)4·2H2O","Na Li Ti O Si H"
"Linzhiite","Linzhiite","FeSi2","Fe Si"
"Liottite","Liottite","Na16Ca8Si18Al18O72(SO4)5Cl4","Na Ca Si Al O S Cl"
"Lipscombite","Lipscombite","Fe2+Fe3+2(PO4)2(OH)2","Fe P O H"
"Lipuite","Lipuite","KNa8Mn3+5Mg0.5[Si12O30(OH)4](PO4)O2(OH)2·4H2O","K Na Mn Mg Si O H P"
"Liraite","Liraite","NaCa2Mn2+2[Fe3+Fe2+]Mn2+2(PO4)6(H2O)2","Na Ca Mn Fe P O H"
"Liroconite","Liroconite","Cu2Al(AsO4)(OH)4·4H2O","Cu Al As O H"
"Lisanite","Lisanite","CaNiP2O7","Ca Ni P O"
"Lisetite","Lisetite","Na2CaAl4(SiO4)4","Na Ca Al Si O"
"Lishizhenite","Lishizhenite","ZnFe3+2(SO4)4·14H2O","Zn Fe S O H"
"Lisiguangite","Lisiguangite","CuPtBiS3","Cu Pt Bi S"
"Lisitsynite","Lisitsynite","KBSi2O6","K B Si O"
"Liskeardite","Liskeardite","(Al,Fe)32(AsO4)18(OH)42(H2O)22·52H2O","Al Fe As O H"
"Lislkirchnerite","Lislkirchnerite","Pb6Al(OH)8Cl2(NO3)5·2H2O","Pb Al O H Cl N"
"Litharge","Litharge","PbO","Pb O"
"Lithiomarsturite","Lithiomarsturite","LiCaMn2+3Si5O14(OH)","Li Ca Mn Si O H"
"Lithiophilite","Lithiophilite","LiMn2+(PO4)","Li Mn P O"
"Lithiophorite","Lithiophorite","(Al,Li)(Mn4+,Mn3+)O2(OH)2","Al Li Mn O H"
"Lithiophosphate","Lithiophosphate","Li3(PO4)","Li P O"
"Lithiotantite","Lithiotantite","LiTa3O8","Li Ta O"
"Lithiowodginite","Lithiowodginite","LiTa3O8","Li Ta O"
"Lithosite","Lithosite","K3Al2Si4O12(OH)","K Al Si O H"
"Litidionite","Litidionite","KNaCuSi4O10","K Na Cu Si O"
"Litochlebite","Litochlebite","Ag2PbBi4Se8","Ag Pb Bi Se"
"Litvinskite","Litvinskite","Na3ZrSi6O13(OH)5","Na Zr Si O H"
"Liudongshengite","Liudongshengite","Zn4Cr2(OH)12(CO3)·3H2O","Zn Cr O H C"
"Liuite","Liuite","FeTiO3","Fe Ti O"
"Liveingite","Liveingite","Pb20As24S56","Pb As S"
"Liversidgeite","Liversidgeite","Zn6(PO4)4·7H2O","Zn P O H"
"Livingstonite","Livingstonite","HgSb4S6(S)2","Hg Sb S"
"Lizardite","Lizardite","Mg3Si2O5(OH)4","Mg Si O H"
"Llantenesite","Llantenesite","Cu6Al[SeO4](OH)12Cl·3H2O","Cu Al Se O H Cl"
"Lobanovite","Lobanovite","K2Na(Fe2+4Mg2Na)Ti2(Si4O12)2O2(OH)4","K Na Fe Mg Ti Si O H"
"Lokkaite-(Y)","Lokkaite-(Y)","CaY4(CO3)7·9H2O","Ca Y C O H"
"Löllingite","Lollingite","FeAs2","Fe As"
"Lombardoite","Lombardoite","Ba2Mn3+(AsO4)2(OH)","Ba Mn As O H"
