Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Magadiite,Magadiite,Na_2_Si_14_O_29_·11H_2_O,Na Si O H,https://www.mindat.org/search.php?search=Magadiite
Magbasite,Magbasite,KBaFe^3+^Mg_7_Si_8_O_22_(OH)_2_F_6_,K Ba Fe Mg Si O H F,https://www.mindat.org/search.php?search=Magbasite
Magganasite,Magganasite,CuFe^3+^_3_O(AsO_4_)_3_,Cu Fe O As,https://www.mindat.org/search.php?search=Magganasite
Maghagendorfite,Maghagendorfite,Na_2_MgFe^2+^Fe^3+^(PO_4_)_3_,Na Mg Fe P O,https://www.mindat.org/search.php?search=Maghagendorfite
Maghemite,Maghemite,(Fe^3+^_0.67_[box]_0.33_)Fe^3+^_2_O_4_,Fe O,https://www.mindat.org/search.php?search=Maghemite
Maghrebite,Maghrebite,MgAl_2_(AsO_4_)_2_(OH)_2_·8H_2_O,Mg Al As O H,https://www.mindat.org/search.php?search=Maghrebite
Magnanelliite,Magnanelliite,K_3_Fe^3+^_2_(SO_4_)_4_(OH)(H_2_O)_2_,K Fe S O H,https://www.mindat.org/search.php?search=Magnanelliite
Magnéliite,Magneliite,Ti^3+^_2_Ti^4+^_2_O_7_,Ti O,https://www.mindat.org/search.php?search=Magneliite
Magnesioalterite,Magnesioalterite,Mg_2_Fe^3+^_4_(SO_4_)_4_(C_2_O_4_)_2_(OH)_4_·17H_2_O,Mg Fe S O C H,https://www.mindat.org/search.php?search=Magnesioalterite
Magnesio-arfvedsonite,Magnesio-arfvedsonite,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Mg Fe Si O H,https://www.mindat.org/search.php?search=Magnesio-arfvedsonite
Magnesioaubertite,Magnesioaubertite,MgAl(SO_4_)_2_Cl·14H_2_O,Mg Al S O Cl H,https://www.mindat.org/search.php?search=Magnesioaubertite
Magnesiobeltrandoite-2<i>N</i>3<i>S</i>,Magnesiobeltrandoite-2N3S,(Mg_6_Al_2_)(Al_18_Fe^3+^_2_)O_38_(OH)_2_,Mg Al Fe O H,https://www.mindat.org/search.php?search=Magnesiobeltrandoite-2N3S
Magnesiobermanite,Magnesiobermanite,MgMn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,Mg Mn P O H,https://www.mindat.org/search.php?search=Magnesiobermanite
Magnesiocanutite,Magnesiocanutite,Na[box]MnMg_2_[AsO_4_]_2_[AsO_2_(OH)_2_],Na Mn Mg As O H,https://www.mindat.org/search.php?search=Magnesiocanutite
Magnesiocarpholite,Magnesiocarpholite,MgAl_2_Si_2_O_6_(OH)_4_,Mg Al Si O H,https://www.mindat.org/search.php?search=Magnesiocarpholite
Magnesiochloritoid,Magnesiochloritoid,MgAl_2_O(SiO_4_)(OH)_2_,Mg Al O Si H,https://www.mindat.org/search.php?search=Magnesiochloritoid
Magnesiochlorophoenicite,Magnesiochlorophoenicite,"Mg_3_Zn_2_(AsO_4_)(OH,O)_6_",Mg Zn As O H,https://www.mindat.org/search.php?search=Magnesiochlorophoenicite
Magnesiochromite,Magnesiochromite,MgCr_2_O_4_,Mg Cr O,https://www.mindat.org/search.php?search=Magnesiochromite
Magnesiocopiapite,Magnesiocopiapite,MgFe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O,Mg Fe S O H,https://www.mindat.org/search.php?search=Magnesiocopiapite
Magnesiocoulsonite,Magnesiocoulsonite,MgV_2_O_4_,Mg V O,https://www.mindat.org/search.php?search=Magnesiocoulsonite
Magnesiodumortierite,Magnesiodumortierite,MgAl_6_BSi_3_O_17_(OH),Mg Al B Si O H,https://www.mindat.org/search.php?search=Magnesiodumortierite
Magnesio-ferri-fluoro-hornblende,Magnesio-ferri-fluoro-hornblende,[box]Ca_2_(Mg_4_Fe^3+^)(Si_7_Al)O_22_F_2_,Ca Mg Fe Si Al O F,https://www.mindat.org/search.php?search=Magnesio-ferri-fluoro-hornblende
Magnesio-ferri-hornblende,Magnesio-ferri-hornblende,Ca_2_(Mg_4_Fe^3+^)[(Si_7_Al)O_22_](OH)_2_,Ca Mg Fe Si Al O H,https://www.mindat.org/search.php?search=Magnesio-ferri-hornblende
Magnesioferrite,Magnesioferrite,MgFe^3+^_2_O_4_,Mg Fe O,https://www.mindat.org/search.php?search=Magnesioferrite
Magnesiofluckite,Magnesiofluckite,CaMg(AsO_3_OH)_2_(H_2_O)_2_,Ca Mg As O H,https://www.mindat.org/search.php?search=Magnesiofluckite
Magnesio-fluoro-arfvedsonite,Magnesio-fluoro-arfvedsonite,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_,Na Mg Fe Si O F,https://www.mindat.org/search.php?search=Magnesio-fluoro-arfvedsonite
Magnesio-fluoro-hastingsite,Magnesio-fluoro-hastingsite,NaCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Fe Si Al O F,https://www.mindat.org/search.php?search=Magnesio-fluoro-hastingsite
Magnesio-foitite,Magnesio-foitite,[box](Mg_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH),Mg Al Si O B H,https://www.mindat.org/search.php?search=Magnesio-foitite
Magnesio-hastingsite,Magnesio-hastingsite,NaCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_(OH)_2_,Na Ca Mg Fe Si Al O H,https://www.mindat.org/search.php?search=Magnesio-hastingsite
