Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Lourenswalsite,Lourenswalsite,"(K,Ba)_2_Ti_4_(Si,Al)_6_O_14_(OH)_12_",K Ba Ti Si Al O H,https://www.mindat.org/search.php?search=Lourenswalsite
Lovdarite,Lovdarite,K_2_Na_6_Be_4_Si_14_O_36_·9H_2_O,K Na Be Si O H,https://www.mindat.org/search.php?search=Lovdarite
Loveringite,Loveringite,"(Ca,Ce,La)(Zr,Fe)(Mg,Fe)_2_(Ti,Fe,Cr,Al)_18_O_38_",Ca Ce La Zr Fe Mg Ti Cr Al O,https://www.mindat.org/search.php?search=Loveringite
Lovozerite,Lovozerite,Na_3_CaZrSi_6_O_15_(OH)_3_,Na Ca Zr Si O H,https://www.mindat.org/search.php?search=Lovozerite
Löweite,Loweite,Na_12_Mg_7_(SO_4_)_13_·15H_2_O,Na Mg S O H,https://www.mindat.org/search.php?search=Loweite
Luanheite,Luanheite,Ag_3_Hg,Ag Hg,https://www.mindat.org/search.php?search=Luanheite
Luanshiweiite,Luanshiweiite,KLiAl_1.5_(Si_3.5_Al_0.5_)O_10_(OH)_2_,K Li Al Si O H,https://www.mindat.org/search.php?search=Luanshiweiite
Luberoite,Luberoite,Pt_5_Se_4_,Pt Se,https://www.mindat.org/search.php?search=Luberoite
Luboržákite,Luborzakite,Mn_2_AsSbS_5_,Mn As Sb S,https://www.mindat.org/search.php?search=Luborzakite
Lucabindiite,Lucabindiite,"(K,NH_4_)As_4_O_6_(Cl,Br)",K N H As O Cl Br,https://www.mindat.org/search.php?search=Lucabindiite
Lucasite-(Ce),Lucasite-(Ce),CeTi_2_O_5_(OH),Ce Ti O H,https://www.mindat.org/search.php?search=Lucasite-(Ce)
Lucchesiite,Lucchesiite,CaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Ca Fe Al Si O B H,https://www.mindat.org/search.php?search=Lucchesiite
Luddenite,Luddenite,Cu_2_Pb_2_Si_5_O_14_·14H_2_O,Cu Pb Si O H,https://www.mindat.org/search.php?search=Luddenite
Ludjibaite,Ludjibaite,Cu_5_(PO_4_)_2_(OH)_4_,Cu P O H,https://www.mindat.org/search.php?search=Ludjibaite
Ludlamite,Ludlamite,Fe^2+^_3_(PO_4_)_2_·4H_2_O,Fe P O H,https://www.mindat.org/search.php?search=Ludlamite
Ludlockite,Ludlockite,PbFe^3+^_4_As^3+^_10_O_22_,Pb Fe As O,https://www.mindat.org/search.php?search=Ludlockite
Ludwigite,Ludwigite,Mg_2_Fe^3+^O_2_(BO_3_),Mg Fe O B,https://www.mindat.org/search.php?search=Ludwigite
Lueshite,Lueshite,NaNbO_3_,Na Nb O,https://www.mindat.org/search.php?search=Lueshite
Luetheite,Luetheite,CuAl(AsO_4_)(OH)_2_,Cu Al As O H,https://www.mindat.org/search.php?search=Luetheite
Lukechangite-(Ce),Lukechangite-(Ce),Na_3_Ce_2_(CO_3_)_4_F,Na Ce C O F,https://www.mindat.org/search.php?search=Lukechangite-(Ce)
Lukkulaisvaaraite,Lukkulaisvaaraite,Pd_14_Ag_2_Te_9_,Pd Ag Te,https://www.mindat.org/search.php?search=Lukkulaisvaaraite
Lukrahnite,Lukrahnite,"CaCuFe^3+^(AsO_4_)_2_(OH,H_2_O)_2_",Ca Cu Fe As O H,https://www.mindat.org/search.php?search=Lukrahnite
Lulzacite,Lulzacite,Sr_2_Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_10_,Sr Fe Al P O H,https://www.mindat.org/search.php?search=Lulzacite
Lumsdenite,Lumsdenite,NaCa_3_Mg_2_(As^3+^V^4+^_2_V^5+^_10_As^5+^_6_O_51_)·45H_2_O,Na Ca Mg As V O H,https://www.mindat.org/search.php?search=Lumsdenite
Lüneburgite,Luneburgite,Mg_3_[B_2_(OH)_6_(PO_4_)_2_]·6H_2_O,Mg B O H P,https://www.mindat.org/search.php?search=Luneburgite
Lunijianlaite,Lunijianlaite,"Li_0.7_Al_6.2_(Si_7_Al)O_20_(OH,O)_10_",Li Al Si O H,https://www.mindat.org/search.php?search=Lunijianlaite
Lun'okite,Lunokite,MgMn^2+^Al(PO_4_)_2_(OH)·4H_2_O,Mg Mn Al P O H,https://www.mindat.org/search.php?search=Lunokite
Luobusaite,Luobusaite,Fe_0.84_Si_2_,Fe Si,https://www.mindat.org/search.php?search=Luobusaite
Luogufengite,Luogufengite,Fe_2_O_3_,Fe O,https://www.mindat.org/search.php?search=Luogufengite
Lusernaite-(Y),Lusernaite-(Y),"Y_4_Al(CO_3_)_2_(OH,F)_11_·6H_2_O",Y Al C O H F,https://www.mindat.org/search.php?search=Lusernaite-(Y)
Lussierite,Lussierite,Na_10_[(UO_2_)(SO_4_)_4_](SO_4_)_2_(H_2_O)_3_,Na U O S H,https://www.mindat.org/search.php?search=Lussierite
Luxembourgite,Luxembourgite,AgCuPbBi_4_Se_8_,Ag Cu Pb Bi Se,https://www.mindat.org/search.php?search=Luxembourgite
Luzonite,Luzonite,Cu_3_AsS_4_,Cu As S,https://www.mindat.org/search.php?search=Luzonite
Lyonsite,Lyonsite,Cu^2+^_3_Fe^3+^_4_(VO_4_)_6_,Cu Fe V O,https://www.mindat.org/search.php?search=Lyonsite
Macaulayite,Macaulayite,Fe^3+^_24_Si_4_O_43_(OH)_2_,Fe Si O H,https://www.mindat.org/search.php?search=Macaulayite
Macdonaldite,Macdonaldite,BaCa_4_Si_16_O_36_(OH)_2_·10H_2_O,Ba Ca Si O H,https://www.mindat.org/search.php?search=Macdonaldite
Macedonite,Macedonite,PbTiO_3_,Pb Ti O,https://www.mindat.org/search.php?search=Macedonite
Macfallite,Macfallite,Ca_2_Mn^3+^_3_(SiO_4_)(Si_2_O_7_)(OH)_3_,Ca Mn Si O H,https://www.mindat.org/search.php?search=Macfallite
Machatschkiite,Machatschkiite,Ca_6_(AsO_4_)(AsO_3_OH)_3_(PO_4_)·15H_2_O,Ca As O H P,https://www.mindat.org/search.php?search=Machatschkiite
Machiite,Machiite,Al_2_Ti_3_O_9_,Al Ti O,https://www.mindat.org/search.php?search=Machiite
Mackayite,Mackayite,Fe^3+^Te^4+^_2_O_5_(OH),Fe Te O H,https://www.mindat.org/search.php?search=Mackayite
Mackinawite,Mackinawite,"(Fe,Ni)_1+x_S (x = 0-0.07)",Fe Ni S,https://www.mindat.org/search.php?search=Mackinawite
Macphersonite,Macphersonite,Pb_4_(SO_4_)(CO_3_)_2_(OH)_2_,Pb S O C H,https://www.mindat.org/search.php?search=Macphersonite
Macquartite,Macquartite,Cu_2_Pb_7_(CrO_4_)_4_(SiO_4_)_2_(OH)_2_,Cu Pb Cr O Si H,https://www.mindat.org/search.php?search=Macquartite
Madeiraite,Madeiraite,Na_2_Ca_2_Fe_2_Zr_2_(Si_2_O_7_)_2_O_2_F_2_,Na Ca Fe Zr Si O F,https://www.mindat.org/search.php?search=Madeiraite
Madocite,Madocite,"Pb_19_(Sb,As)_16_S_43_",Pb Sb As S,https://www.mindat.org/search.php?search=Madocite
